Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2026-01-30 17:08:24,0,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,2017326,2958018,3099731,8076759,841056
2026-01-30 17:08:24,1,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,691300,1399171,0,2092572,608076
2026-01-30 17:08:24,2,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,656847,1392228,0,2049431,228655
2026-01-30 17:08:24,3,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,678932,1404929,0,2084368,205323
2026-01-30 17:08:24,4,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,678151,1395043,0,2073860,217263
2026-01-30 17:08:24,5,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,688247,1407518,0,2096115,187893
2026-01-30 17:08:24,6,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,692448,1400641,0,2093496,174198
2026-01-30 17:08:24,7,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,667331,1414967,0,2085078,170988
2026-01-30 17:08:24,8,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,640888,1402749,0,2044908,168463
2026-01-30 17:08:24,9,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,669283,1415440,0,2085140,161182
2026-01-30 17:08:24,10,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,653347,1401568,0,2056134,162583
2026-01-30 17:08:24,11,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,643831,1386556,0,2031226,155683
2026-01-30 17:08:24,12,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,687208,1394786,0,2082164,161342
2026-01-30 17:08:24,13,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,658286,1388223,0,2046978,146056
2026-01-30 17:08:24,14,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,649568,1386695,0,2039137,147436
2026-01-30 17:08:24,15,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,653722,1397724,0,2051907,143186
2026-01-30 17:08:24,16,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,612057,1401781,0,2014337,140989
2026-01-30 17:08:24,17,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,634012,1432750,0,2067157,144810
2026-01-30 17:08:24,18,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,636047,1403860,0,2041381,138543
2026-01-30 17:08:24,19,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,625438,1393518,0,2019480,145182
2026-01-30 17:08:24,20,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,629791,1403413,0,2033522,142766
2026-01-30 17:08:24,21,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,643389,1386312,0,2030105,152177
2026-01-30 17:08:24,22,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,677240,1392933,0,2072872,141415
2026-01-30 17:08:24,23,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,657517,1415979,0,2075850,138235
2026-01-30 17:08:24,24,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,631835,1412871,0,2046986,139596
2026-01-30 17:08:24,25,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,656722,1379906,0,2036998,137685
2026-01-30 17:08:24,26,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,643725,1397691,0,2041817,141095
2026-01-30 17:08:24,27,LJFunctorAVX,false,pairwise,PseudoVerletLists,1.000000,psvl_c08,none,AoS,enabled,649579,1390198,0,2040165,140574
